"","X1","age","sex","education","pes19_votechoice2019","vote_liberal","vote_conservative","vote_bloc","vote_ndp","vote_green","vote_ppc","vote_other","vote_spoil","age_cat"
"628",652,76,"Male","Below High School","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"629",653,58,"Female","Bachelors","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"630",654,68,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"631",655,72,"Female","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"632",656,31,"Male","Bachelors","Green Party",0,0,0,0,1,0,0,0,"[30,50)"
"633",658,68,"Female","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"634",659,73,"Female","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[65,Inf)"
"635",660,52,"Female","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[50,65)"
"636",661,51,"Female","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"637",662,77,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"638",663,69,"Male","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"639",664,77,"Female","Below High School","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"640",665,50,"Male","Graduate Degree","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"641",666,54,"Female","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"642",668,40,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"643",669,68,"Female","High School","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"644",671,75,"Male","High School","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"645",672,42,"Male","High School","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"646",673,55,"Female","Graduate Degree","Green Party",0,0,0,0,1,0,0,0,"[50,65)"
"647",674,70,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"648",675,34,"Female","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"649",677,71,"Male","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[65,Inf)"
"650",678,83,"Male","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"651",679,59,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"652",680,38,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
